origin_key,dest_key,num
523705194,523705291,0
523705194,523705291,0
523705341,22133,0
523705194,523705291,0
22133,523705341,0
22134,523706303,0
523706303,22134,0
523706303,22134,0
523705291,523705194,0
22134,523706303,0
22134,523706303,0
22134,523706303,0
523706303,22134,0
523706303,22134,0
22134,523706303,0
523706303,22134,0
22133,523705242,0
523705174,22131,0
22134,523706303,0
22134,523706303,0
523706303,22134,0
523706303,22134,0
523705404,523705301,0
523705174,22131,0
22131,523705174,0
22133,523705242,0
523705242,22133,0
22131,523705174,0
523705291,523705194,0
22131,523705174,0
523705174,22131,0
523705242,22133,0
523705422,523705323,0
22131,523705174,0
22133,523705242,0
523705242,22133,0
523705242,22133,0
523705341,22133,0
22136,523716803,0
523705291,523705194,0
523705291,523705194,0
22131,523705174,0
523705242,22133,0
523705323,523705422,0
523705174,22131,0
523705194,523705291,0
22133,523705242,0
523705323,523705422,0
523705422,523705323,0
523705341,22133,0
22136,523716803,0
22131,523705174,0
22133,523705341,0
22133,523705242,0
22133,523705242,0
523705174,22131,0
523705291,523705194,0
523705341,22133,0
22131,523705174,0
523832744,523832753,0
523705174,22131,0
523832744,523832753,0
523716803,22136,0
523832753,523832744,0
523716803,22136,0
22133,523705341,0
523716803,22136,0
523832753,523832744,0
523705174,22131,0
22136,523716803,0
523706213,523706302,0
523705341,22133,0
22134,523705482,0
523705482,22134,0
22136,523716803,0
523832744,523832753,0
523705281,22134,0
22133,523705341,0
22133,523705341,0
523705194,22131,0
523832744,523832753,0
523716803,22136,0
523832753,523832744,0
523705341,22133,0
22131,523705194,0
22134,523705281,0
523705301,523705404,0
523705242,22133,0
22133,523705341,0
22134,523705281,0
523716803,22136,0
523705434,523705541,0
22136,523716803,0
523856473,523856571,0
22134,523705482,0
22134,523705482,0
523705482,22134,0
523705194,22131,0
22131,523705194,0
22134,523705482,0
523716803,22136,0
523705291,523705194,0
22136,523716803,0
523706302,523706213,0
523832753,523832744,0
523706302,523706213,0
523705194,22131,0
523705482,22134,0
523705222,523705231,0
523832744,523832753,0
523856473,523856571,0
22131,523705194,0
22102,523833613,0
523705482,22134,0
523705541,523705434,0
523705242,22133,0
22133,523705242,0
22131,523705194,0
523705203,523705404,0
523705341,22133,0
22134,523705482,0
523705482,22134,0
22134,523705482,0
